Index,Name,Ratings,price,original_price,discount_element,Compressor,Warranty 
0,Voltas Beko by A Tata Product 360 L Frost Free Double Door Top Mount 2 Star Refrigerator,4,"₹27,990","₹46,990",40% off,Pro Smart Inverter Compressor,2 Years Comprehensive Warranty on Product and 12 Years Warranty on Compressor
1,Voltas Beko by A Tata Product 340 L Frost Free Double Door Top Mount 2 Star Refrigerator,4,"₹29,990","₹45,290",33% off,Pro Smart Inverter Compressor,2 Years Comprehensive Warranty and 12 Years Compressor Warranty
2,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,4.1,"₹15,990","₹20,950",23% off,Inverter Compressor,1 Year Comprehensive Warranty and 9 Years Warranty on Compressor
3,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,4.4,"₹16,190","₹22,999",29% off,Digital Inverter Compressor,1 year comprehensive warranty on the product
4,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,4.4,"₹16,190","₹22,999",29% off,Digital Inverter Compressor,1 year comprehensive warranty on the product
5,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...",4.5,"₹17,690","₹22,199",20% off,Smart Inverter Compressor,1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
6,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator,4.4,"₹17,490","₹22,999",23% off,Digital Inverter Compressor,1 year comprehensive warranty on the product
7,Whirlpool 300 L Frost Free Triple Door Refrigerator,4.3,"₹32,990","₹46,450",28% off,Reciprocating Compressor,1 Year Warranty on Product and 10 Years Warranty on Compressor from Whirlpool
8,Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,4.3,"₹11,990","₹15,400",22% off,Normal Compressor,1 Year on Product and 10 Years on Compressor from Whirlpool
9,SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter with Displ...,4.3,"₹26,490","₹40,990",35% off,Digital Inverter Compressor,1 year comprehensive warranty on the product
